znf_name	data_no	data_source	peak_number	repeat_number	motif_all_img_path
ZNF667	GSM2466624	GSE78099	50	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF667/raw/logo1.png
ZNF202	GSM2466493	GSE78099	14983	4	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF202/raw/logo1.png
ZNF211-rep2	GSM2466496	GSE78099	689	6	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF211-rep2/raw/logo1.png
ZNF132	GSM2466475	GSE78099	582	1	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF132/raw/logo1.png
ZNF562	GSM2466597	GSE78099	496	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF562/raw/logo1.png
ZNF714	GSM2466641	GSE78099	664	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF714/raw/logo1.png
ZNF613	GSM2466612	GSE78099	913	2	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF613/raw/logo1.png
ZNF433	GSM2466556	GSE78099	1076	2	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF433/raw/logo1.png
ZNF283	GSM2466517	GSE78099	2573	2	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF283/raw/logo1.png
ZNF783	GSM2466659	GSE78099	5036	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF783/raw/logo1.png
ZNF540	GSM2466585	GSE78099	120	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF540/raw/logo1.png
ZNF273	GSM2466513	GSE78099	9980	7	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF273/raw/logo1.png
ZNF81	GSM2466674	GSE78099	807	1	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF81/raw/logo1.png
ZNF555	GSM2466593	GSE78099	727	5	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF555/raw/logo1.png
ZNF169	GSM2466482	GSE78099	2384	4	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF169/raw/logo1.png
ZNF492	GSM2466575	GSE78099	192	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF492/raw/logo1.png
ZNF582	GSM2466605	GSE78099	49	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF582/raw/logo1.png
ZNF680-rep2	GSM2466630	GSE78099	10602	3	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF680-rep2/raw/logo1.png
ZNF74	GSM2466647	GSE78099	61	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF74/raw/logo1.png
ZNF274	GSM2466514	GSE78099	552	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF274/raw/logo1.png
ZNF460	GSM2466566	GSE78099	5808	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF460/raw/logo1.png
