znf_name	data_no	data_source	peak_number	repeat_number	motif_all_img_path
ZNF441	GSM2466559	GSE78099	21012	3	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF441/raw/logo1.png
ZNF440	GSM2466558	GSE78099	2497	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF440/raw/logo1.png
ZNF610	GSM2466610	GSE78099	3853	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF610/raw/logo1.png
ZFP57-rep2	GSM2466451	GSE78099	10690	1	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZFP57-rep2/raw/logo1.png
ZNF543	GSM2466586	GSE78099	1071	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF543/raw/logo1.png
ZNF154	GSM2466480	GSE78099	303	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF154/raw/logo1.png
ZNF671	GSM2466626	GSE78099	3911	4	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF671/raw/logo1.png
ZNF75D-rep2	GSM2466649	GSE78099	4483	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF75D-rep2/raw/logo1.png
ZNF707	GSM2466639	GSE78099	2620	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF707/raw/logo1.png
ZNF254	GSM2466505	GSE78099	511	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF254/raw/logo1.png
HKR1	GSM2466445	GSE78099	340	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_HKR1/raw/logo1.png
RBAK	GSM2466447	GSE78099	840	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_RBAK/raw/logo1.png
ZNF19	GSM2466492	GSE78099	993	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF19/raw/logo1.png
ZNF785	GSM2466660	GSE78099	25	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF785/raw/logo1.png
ZNF443	GSM2466561	GSE78099	128	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF443/raw/logo1.png
ZNF846	GSM2466676	GSE78099	2463	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF846/raw/logo1.png
ZNF3	GSM2466546	GSE78099	146	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF3/raw/logo1.png
ZNF211	GSM2466495	GSE78099	612	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF211/raw/logo1.png
ZNF669	GSM2466625	GSE78099	475	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF669/raw/logo1.png
ZNF180	GSM2466485	GSE78099	750	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF180/raw/logo1.png
ZNF749	GSM2466646	GSE78099	233	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF749/raw/logo1.png
ZNF736	GSM2466644	GSE78099	4411	1	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF736/raw/logo1.png
ZNF496	GSM2466576	GSE78099	51	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF496/raw/logo1.png
ZNF382-rep2	GSM2466543	GSE78099	12512	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF382-rep2/raw/logo1.png
ZNF792	GSM2466665	GSE78099	195	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF792/raw/logo1.png
ZNF737	GSM2466645	GSE78099	15	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF737/raw/logo1.png
ZNF17	GSM2466484	GSE78099	2154	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF17/raw/logo1.png
ZIK1	GSM2466455	GSE78099	421	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZIK1/raw/logo1.png
ZNF684	GSM2466634	GSE78099	546	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF684/raw/logo1.png
ZNF79	GSM2466669	GSE78099	79	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF79/raw/logo1.png
ZNF619	GSM2466616	GSE78099	94	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF619/raw/logo1.png
ZNF547	GSM2466587	GSE78099	2480	3	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF547/raw/logo1.png
ZNF528	GSM2466581	GSE78099	849	1	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF528/raw/logo1.png
ZNF419	GSM2466549	GSE78099	34	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF419/raw/logo1.png
ZNF300	GSM2466523	GSE78099	467	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF300/raw/logo1.png
ZNF641	GSM2466621	GSE78099	668	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF641/raw/logo1.png
ZNF100	GSM2466465	GSE78099	1606	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF100/raw/logo1.png
ZNF425	GSM2466551	GSE78099	6588	2	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF425/raw/logo1.png
ZNF550	GSM2466591	GSE78099	150	1	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF550/raw/logo1.png
ZNF823	GSM2466675	GSE78099	3495	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF823/raw/logo1.png
ZNF816	GSM2466673	GSE78099	311	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF816/raw/logo1.png
ZNF808	GSM2466672	GSE78099	3094	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF808/raw/logo1.png
ZNF789	GSM2466662	GSE78099	794	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF789/raw/logo1.png
ZNF12	GSM2466474	GSE78099	870	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF12/raw/logo1.png
ZNF225	GSM2466502	GSE78099	164	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF225/raw/logo1.png
ZNF205	GSM2466494	GSE78099	48	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF205/raw/logo1.png
ZNF486	GSM2466573	GSE78099	96	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF486/raw/logo1.png
ZNF530	GSM2466583	GSE78099	919	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF530/raw/logo1.png
ZNF10	GSM2466471	GSE78099	1333	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF10/raw/logo1.png
ZNF429	GSM2466552	GSE78099	4970	1	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF429/raw/logo1.png
ZNF30	GSM2466526	GSE78099	667	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF30/raw/logo1.png
ZNF611	GSM2466611	GSE78099	3931	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF611/raw/logo1.png
ZNF317	GSM2466528	GSE78099	3176	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF317/raw/logo1.png
ZNF169-rep2	GSM2466483	GSE78099	2112	1	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF169-rep2/raw/logo1.png
ZNF324	GSM2466531	GSE78099	484	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF324/raw/logo1.png
ZNF284	GSM2466518	GSE78099	9447	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF284/raw/logo1.png
ZNF879	GSM2466680	GSE78099	1026	2	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF879/raw/logo1.png
ZNF786	GSM2466661	GSE78099	5172	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF786/raw/logo1.png
ZNF69	GSM2466636	GSE78099	87	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF69/raw/logo1.png
ZNF354B	GSM2466541	GSE78099	75	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF354B/raw/logo1.png
ZNF799	GSM2466668	GSE78099	754	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF799/raw/logo1.png
ZNF558	GSM2466595	GSE78099	1624	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF558/raw/logo1.png
ZNF263	GSM2466508	GSE78099	12236	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF263/raw/logo1.png
ZNF222	GSM2466499	GSE78099	1906	1	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF222/raw/logo1.png
ZNF2	GSM2466522	GSE78099	3913	2	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF2/raw/logo1.png
